entry_date,exit_date,n_long,n_short,long_ret,short_ret,period_ret,net_period_ret,long_turnover,short_turnover,capital,cum_strategy
2026-03-25,2026-03-26,113,134,-0.011090551544731712,0.013676030956147785,0.0012927397057080358,0.0009029629258903104,0.21238938053097345,0.5671641791044776,10154.142858325435,1.0154142858325437
2026-03-26,2026-03-27,154,181,-0.029219304140367764,0.023839769000054273,-0.002689767570156745,-0.003098930230700621,0.33766233766233766,0.48066298342541436,10126.830574162372,1.0126830574162375
2026-03-27,2026-03-30,195,196,-0.010898288149743796,0.011691994188141486,0.0003968530191988451,-0.00010411506034066308,0.37948717948717947,0.6224489795918368,10130.849437450643,1.0130849437450646
2026-03-30,2026-03-31,201,224,0.042655766942876316,-0.03553589477408501,0.0035599360843956524,0.003295510444736804,0.19402985074626866,0.33482142857142855,10166.914613928602,1.0166914613928606
2026-03-31,2026-04-01,221,223,0.004879672680567406,-0.008871637274902845,-0.0019959822971677196,-0.00238755748536649,0.3212669683257919,0.4618834080717489,10146.621632342385,1.014662163234239
2026-04-01,2026-04-02,241,240,0.005898257056112591,-0.004675821051552276,0.0006112180022801579,0.00016191820974903752,0.3360995850622407,0.5625,10152.823430146398,1.0152823430146403
2026-04-02,2026-04-06,241,223,0.00811703021461927,-0.007677683734636739,0.00021967323999126474,5.09815033930101e-05,0.15352697095435686,0.18385650224215247,10155.053733764358,1.0155053733764363
2026-04-06,2026-04-07,222,204,-0.006369986931741602,0.0009572240367107077,-0.002706381447515447,-0.0030164635884799406,0.19369369369369369,0.4264705882352941,10127.570284740776,1.0127570284740781
2026-04-07,2026-04-08,161,162,0.023228231069392292,-0.028190430807296517,-0.002481099868952112,-0.0028458533387780457,0.18012422360248448,0.5493827160493827,10102.442771434502,1.0102442771434508
2026-04-08,2026-04-09,165,175,0.0034519853076315703,0.0029200992399147367,0.003186042273773154,0.002870198117928998,0.2545454545454545,0.37714285714285717,10134.629581172667,1.0134629581172672
2026-04-09,2026-04-10,155,150,-0.010303544233309434,0.0020801631635826772,-0.004111690534863378,-0.00445459376066983,0.22580645161290322,0.46,10092.959120649413,1.0092959120649418
2026-04-10,2026-04-23,159,159,0.07831348390870824,-0.058030225790619186,0.010141629059044525,0.009811440379799242,0.2389937106918239,0.42138364779874216,10195.31816815914,1.0195318168159146
2026-04-23,2026-04-24,137,145,0.0033909680976908856,0.0002999482564001001,0.001845458177045493,0.0016122339132649743,0.20437956204379562,0.2620689655172414,10214.133201440149,1.0214133201440156
2026-04-24,2026-04-27,123,119,-0.0055934535568543395,-0.0007564110454818707,-0.0031749323011681053,-0.0035567045222516607,0.2845528455284553,0.4789915966386555,10181.704020010462,1.0181704020010471
2026-04-27,2026-04-28,107,106,-0.005738713029702373,0.015022494115330966,0.004641890542814297,0.004161596062123061,0.17757009345794392,0.7830188679245284,10228.966375610682,1.0228966375610693
2026-04-28,2026-04-29,124,109,-0.008842344757170887,-0.0005689263904050488,-0.004705635573787967,-0.005095580823861954,0.2661290322580645,0.5137614678899083,10180.832587550527,1.018083258755054
2026-04-29,2026-04-30,107,110,0.024594956556992932,-0.018153241341806677,0.003220857607593126,0.003040143928748606,0.2523364485981308,0.10909090909090909,10213.62359964177,1.0213623599641783
2026-04-30,2026-05-01,87,90,0.0014970119912303356,0.0006358682892207268,0.0010664401402255314,0.0006539880329458378,0.41379310344827586,0.4111111111111111,10224.515817825584,1.0224515817825597
2026-05-01,2026-05-04,168,180,-0.0077833134276021005,-0.0005152514542560665,-0.004149282440929083,-0.005007417361564004,0.8273809523809523,0.8888888888888888,10182.091413875678,1.0182091413875691
2026-05-04,2026-05-05,222,218,0.013039197970461922,-0.008019724266083708,0.002509736852189107,0.002104248795324903,0.30180180180180183,0.5091743119266054,10207.64578392944,1.0207645783929453
2026-05-05,2026-05-06,243,253,0.011348098626681362,-0.015937139641654472,-0.0022945205074865545,-0.002525884062521607,0.10699588477366255,0.3557312252964427,10184.224131345056,1.0184224131345068
